b'768952505929699328',b'#RosarioSangra Rosario dice Basta. Rosario dice HAGAN ALGO. Rosario quiere vivir en PAZ. Rosario dice JUSTICIA. pic.twitter.com/gTa3hMofnb',b'1663729195',b'1663729195',b'fabian',b'1472167538000.0',b'700',b'317',,,
b'768961133973757952',b'#Rosariosangra Notable como canales TV locales evitan pasar discursos de la marcha porque nombran a las autoridades que no hacen nada',b'48351046',b'48351046',b'Hector de Rosario',b'1472169595000.0',b'0',b'0',,,
b'768961127384354817',b'Retweeted Pablo R. Procopio (@pablorprocopio):\n\n#RosarioSangra Piden que se repitan las marchas. Miles de... http://fb.me/2mOJkphuj\xc2\xa0',b'1303906135',b'1303906135',b'Claudio Scabuzzo',b'1472169594000.0',b'0',b'2',,,
b'768950941974487040',b'La multitudinaria marcha en reclamo por m\xc3\xa1s seguridad y justicia se extiende a siete cuadras #RosarioSangra pic.twitter.com/a09G7WhpTf',b'179990537',b'179990537',b'La Capital - Rosario',b'1472167165000.0',b'164',b'124',,,
b'768957798298288129',b'#RosarioSangra Piden que se repitan las marchas. Miles de personas pic.twitter.com/YYYDHrmtzh',b'266128536',b'266128536',b'Pablo R. Procopio',b'1472168800000.0',b'97',b'116',,,
b'768961056697876480',b'La imagen habla y es mas que cualquier campa\xc3\xb1a o que cualquier discursito que dan. BASTA DE ESTO. #RosarioSangra pic.twitter.com/1ZdL0pbyra',b'928755588',b'928755588',b'~ \xe2\x80\xa2Guido\xe2\x80\xa2 ~',b'1472169577000.0',b'24',b'28',,,
b'768961030114377728',b'#RosarioSangra pic.twitter.com/BhXgjz1cf1',b'471380276',b'471380276',b'#CosaJuzgadaIrrita',b'1472169570000.0',b'21',b'14',,,
b'768960972388085761',"b'Rosario pide justicia, seguridad y equidad #RosarioSangra pic.twitter.com/LhAfpR9B5B'",b'274647977',b'274647977',b'ONI',b'1472169557000.0',b'14',b'13',,,
b'768960905484890112',b'lord mire rosario ahora #rosariosangra pic.twitter.com/yJ08kTMsqj',b'2296226276',b'2296226276',b'ro maco',b'1472169541000.0',b'13',b'12',,,
b'768960889097687040',b'#RosarioSangra Mi Rosario querida...que manchada estas de tanta impunidad',b'150026438',b'150026438',b'Mat\xc3\xadas Pentorari',b'1472169537000.0',b'0',b'0',,,
